date,cot_noncomm_net,cot_noncomm_net_pct_oi,cot_comm_net,cot_comm_net_pct_oi,cot_noncomm_net_change_1w,cot_noncomm_net_ma_4w,cot_noncomm_trader_count
2010-01-05,227767,0.4486755456098085,-278551,-0.5487143524090748,,227767.0,260
2010-01-12,229342,0.43828951240860287,-282488,-0.5398554463695329,1575.0,228554.5,260
2010-01-19,221469,0.4187161104430882,-273647,-0.5173654438066717,-7873.0,226192.66666666666,259
2010-01-26,211924,0.4175307596071439,-248618,-0.48982494852875985,-9545.0,222625.5,237
2010-02-02,210169,0.43706900137254084,-244579,-0.5086282909786632,-1755.0,218226.0,234
2010-02-09,181519,0.3887707349460811,-213427,-0.45711011876077573,-28650.0,206270.25,241
2010-02-16,188858,0.4048324898340654,-219878,-0.4713263838425411,7339.0,198117.5,232
2010-02-23,200622,0.4299915125639773,-238044,-0.5101977829788329,11764.0,195292.0,231
2010-03-02,207372,0.4295319251179612,-251537,-0.5210113797831751,6750.0,194592.75,243
2010-03-09,208194,0.42152299310196817,-251787,-0.5097841910149441,822.0,201261.5,243
2010-03-16,200346,0.4035320586286283,-242295,-0.48802471796503794,-7848.0,204133.5,243
2010-03-23,183872,0.371351306592237,-223823,-0.4520370882755083,-16474.0,199946.0,239
2010-03-30,173766,0.372346671580833,-207691,-0.44504133471044277,-10106.0,191544.5,222
2010-04-06,203446,0.4090287662750207,-244906,-0.4923842151398908,29680.0,190357.5,245
2010-04-13,220742,0.4173952834041781,-263484,-0.4982150150513561,17296.0,195456.5,267
2010-04-20,210651,0.4040584035692775,-257396,-0.493721923205291,-10091.0,202151.25,249
2010-04-27,225668,0.418996975441476,-265522,-0.4929937559298243,15017.0,215126.75,254
2010-05-04,230547,0.417948355377654,-271586,-0.49234612484046875,4879.0,221902.0,274
2010-05-11,235825,0.4041531848967616,-282644,-0.48439085250486713,5278.0,225672.75,277
2010-05-18,231670,0.39959776320464746,-279744,-0.482518568092204,-4155.0,230927.5,288
2010-05-25,227691,0.3850294237012987,-268379,-0.45383353625541123,-3979.0,231433.25,246
2010-06-01,224546,0.40535427385143064,-267623,-0.48311760989258956,-3145.0,229933.0,256
2010-06-08,227398,0.4026225583931784,-273577,-0.48438540205951924,2852.0,227826.25,263
2010-06-15,230251,0.40451402309189677,-278944,-0.49005980281234846,2853.0,227471.5,271
2010-06-22,238634,0.3961315447427089,-288916,-0.479599476105184,8383.0,230207.25,280
2010-06-29,244725,0.4071028615725507,-289956,-0.4823451520283196,6091.0,235252.0,273
2010-07-06,209042,0.36183212977643614,-249142,-0.43124147528611884,-35683.0,230663.0,261
2010-07-13,204921,0.3607268720140544,-248348,-0.43717236013364363,-4121.0,224330.5,264
2010-07-20,178307,0.3187052815774845,-215664,-0.3854770471497284,-26614.0,209248.75,253
2010-07-27,188901,0.3372834630204297,-227555,-0.40630032888980944,10594.0,195292.75,253
2010-08-03,185515,0.3576930566883193,-222029,-0.4280960120930968,-3386.0,189411.0,237
2010-08-10,190687,0.36454792593074076,-230980,-0.4415785026324946,5172.0,185852.5,240
2010-08-17,204228,0.3756442279748526,-249570,-0.4590434709035194,13541.0,192332.75,257
2010-08-24,221191,0.39749381810862877,-264300,-0.47496333994651946,16963.0,200405.25,263
2010-08-31,238077,0.4123602239188571,-284561,-0.4928726322936441,16886.0,213545.75,263
2010-09-07,239697,0.4093438121195975,-287680,-0.4912870326727736,1620.0,225798.25,259
2010-09-14,244261,0.41117365644432025,-292939,-0.49311515037252257,4564.0,235806.5,277
2010-09-21,244013,0.40832708603863505,-292308,-0.4891430942850641,-248.0,241512.0,284
2010-09-28,257649,0.4159600780099708,-302740,-0.48875700669025907,13636.0,246405.0,294
2010-10-05,259620,0.4206388811478863,-299498,-0.48524960952942625,1971.0,251385.75,296
2010-10-12,255874,0.4151224403048759,-300022,-0.4867468550347025,-3746.0,254289.0,295
2010-10-19,249752,0.396038222337804,-293082,-0.4647477268618801,-6122.0,255723.75,304
2010-10-26,239086,0.39350408669117914,-282435,-0.46485083494902746,-10666.0,251083.0,288
2010-11-02,230228,0.37230768733192,-276612,-0.44731646024053134,-8858.0,243735.0,286
2010-11-09,246179,0.3782922841460191,-290953,-0.44709449201246537,15951.0,241311.25,298
2010-11-16,218479,0.3427471036262521,-264908,-0.41558433408896595,-27700.0,233493.0,278
2010-11-23,221329,0.3554275491720089,-263893,-0.42378017446267296,2850.0,229053.75,243
2010-11-30,227607,0.37924513211520966,-270469,-0.4506629920787526,6278.0,228398.5,252
2010-12-07,232751,0.3855842632597344,-278673,-0.4616604156174623,5144.0,225041.5,265
2010-12-14,220195,0.3702922045162549,-268135,-0.4509107847951407,-12556.0,225470.5,261
2010-12-21,206424,0.3545993784925438,-251808,-0.43256094397672007,-13771.0,221744.25,262
2010-12-28,215788,0.3629800333058588,-259770,-0.436962774815388,9364.0,218789.5,267
2011-01-04,202318,0.3413998680420443,-254582,-0.42959233091410415,-13470.0,211181.25,278
2011-01-11,177372,0.30156125941252576,-225064,-0.38264541916661426,-24946.0,200475.5,253
2011-01-18,164993,0.28068053457450426,-206471,-0.3512415111800651,-12379.0,190117.75,271
2011-01-25,160589,0.31734008896406857,-197483,-0.39024636051592043,-4404.0,176318.0,265
2011-02-01,151194,0.3266185216468967,-193197,-0.41735596998965235,-9395.0,163537.0,246
2011-02-08,167093,0.35568426856032304,-209911,-0.44682925375548926,15899.0,160967.25,247
2011-02-15,172844,0.36515437999767614,-218626,-0.4618745312615534,5751.0,162930.0,255
2011-02-22,180424,0.3593251798876362,-231806,-0.4616555039741575,7580.0,167888.75,284
2011-03-01,197253,0.3824333441905914,-250596,-0.48585454376250525,16829.0,179403.5,281
2011-03-08,190940,0.37060328329587316,-247464,-0.4803130349718758,-6313.0,185365.25,281
2011-03-15,174571,0.34380612887978573,-220154,-0.433578856152513,-16369.0,185797.0,273
2011-03-22,174837,0.34340277845976774,-224799,-0.4415346934286068,266.0,184400.25,263
2011-03-29,193121,0.39245296055372325,-240769,-0.48928136691276136,18284.0,183367.25,260
2011-04-05,204706,0.40220765645753265,-258665,-0.5082266443464661,11585.0,186808.75,279
2011-04-12,201745,0.39183601329265,-253688,-0.4927214778070623,-2961.0,193602.25,285
2011-04-19,214926,0.399530807924959,-266548,-0.4954921125912266,13181.0,203624.5,292
2011-04-26,201266,0.3796526148204598,-248994,-0.46968302234160547,-13660.0,205660.75,279
2011-05-03,192656,0.368844565527461,-240102,-0.4596810785663277,-8610.0,202648.25,284
2011-05-10,176339,0.34566040250827695,-221581,-0.434343949144469,-16317.0,196296.75,266
2011-05-17,164603,0.3232809075268479,-206949,-0.40644860987815323,-11736.0,183716.0,258
2011-05-24,172394,0.3245491170601303,-217237,-0.4089705937723559,7791.0,176498.0,275
2011-05-31,191774,0.38247706422018346,-240508,-0.47967291583566013,19380.0,176277.5,250
2011-06-07,198708,0.3956348518967608,-247684,-0.49314784838656367,6934.0,181869.75,254
2011-06-14,191695,0.38509984330427094,-237429,-0.4769757724295874,-7013.0,188642.75,259
2011-06-21,203227,0.39460327446137594,-251247,-0.48784309613681903,11532.0,196351.0,279
2011-06-28,165902,0.33464108713674534,-208755,-0.42107991552381085,-37325.0,189883.0,248
2011-07-05,157775,0.3221331122826074,-202002,-0.41243246995602123,-8127.0,179649.75,251
2011-07-12,197597,0.37984667494550195,-244249,-0.46952722211756204,39822.0,181125.25,280
2011-07-19,219297,0.4043518665344008,-263814,-0.48643475887908366,21700.0,185142.75,301
2011-07-26,235617,0.43921193615855225,-282973,-0.5274879113586626,16320.0,202571.5,287
2011-08-02,247175,0.466893840798031,-287634,-0.5433176615923975,11558.0,224921.5,303
2011-08-09,203573,0.39898828551437315,-249206,-0.48842564917692854,-43602.0,226415.5,289
2011-08-16,200086,0.3891913551070108,-248847,-0.48403736965262095,-3487.0,221612.75,296
2011-08-23,187681,0.3551067130855975,-230436,-0.4360024218572618,-12405.0,209628.75,288
2011-08-30,176947,0.34741403344812555,-217355,-0.4267502542575875,-10734.0,192071.75,264
2011-09-06,184371,0.3523277545700887,-227714,-0.43515499891074616,7424.0,187271.25,277
2011-09-13,168847,0.3297355038783912,-210468,-0.4110157244740933,-15524.0,179461.5,275
2011-09-20,150529,0.30144626278646897,-197628,-0.3957657462812102,-18318.0,170173.5,275
2011-09-27,127801,0.2745963808566137,-166683,-0.3581392050948188,-22728.0,157887.0,240
2011-10-04,133156,0.304760596905612,-164751,-0.377073606152156,5355.0,145083.25,254
2011-10-11,134502,0.3070191056632199,-168478,-0.3845739459928325,1346.0,136497.0,240
2011-10-18,126978,0.2900769636701322,-159153,-0.3635796673360153,-7524.0,130609.25,244
2011-10-25,129721,0.2923468019462593,-168114,-0.37887150316751667,2743.0,131089.25,257
2011-11-01,139945,0.31630635008532326,-182400,-0.4122639483765977,10224.0,132786.5,257
2011-11-08,155707,0.3348667260238031,-196935,-0.4235325238396325,15762.0,138087.75,262
2011-11-15,159214,0.3384003910816383,-204163,-0.4339369593402623,3507.0,146146.75,273
2011-11-22,160970,0.352178003369287,-192413,-0.42097052967816745,1756.0,153959.0,232
2011-11-29,154793,0.36578870257292473,-193545,-0.45736289392593155,-6177.0,157671.0,229
2011-12-06,159711,0.3776066541200503,-201500,-0.476408893596497,4918.0,158672.0,232
2011-12-13,150503,0.3518899974047169,-186217,-0.43539264763303165,-9208.0,156494.25,227
2011-12-20,133936,0.31628587958863186,-164554,-0.388589375745339,-16567.0,149735.75,231
2011-12-27,130788,0.3121841769205982,-163932,-0.3912971869815847,-3148.0,143734.5,225
2012-01-03,130971,0.30942295198157227,-161843,-0.3823589864745142,183.0,136549.5,220
2012-01-10,132760,0.31766617295530514,-166574,-0.39857581420500904,1789.0,132113.75,229
2012-01-17,136029,0.31427231435317604,-172976,-0.39963219495515645,3269.0,132637.0,229
2012-01-24,142223,0.3330499822027389,-179768,-0.42097079375784485,6194.0,135495.75,230
2012-01-31,171359,0.40307150938647435,-209862,-0.49363846137561657,29136.0,145592.75,239
2012-02-07,177507,0.40706919444756584,-221072,-0.5069749415792745,6148.0,156779.5,247
2012-02-14,167420,0.3882977242998024,-209408,-0.48568062268649514,-10087.0,164627.25,248
2012-02-21,180961,0.3962568648232007,-229302,-0.5021109057625099,13541.0,174311.75,261
2012-02-28,193220,0.40334499544926977,-245351,-0.5121679845692672,12259.0,179777.0,261
2012-03-06,163265,0.36833698440380014,-200208,-0.45168291411824957,-29955.0,176216.5,246
2012-03-13,150906,0.341170060521931,-191688,-0.4333704860067056,-12359.0,172088.0,250
2012-03-20,131463,0.30499096369470047,-166138,-0.3854361206294558,-19443.0,159713.5,231
2012-03-27,147821,0.35422857197630503,-185076,-0.4435040162567337,16358.0,148363.75,229
2012-04-03,141765,0.3476668931065011,-177464,-0.43521572685960647,-6056.0,142988.75,217
2012-04-10,136653,0.3382592100279958,-171049,-0.4234001420830765,-5112.0,139425.5,221
2012-04-17,142005,0.3563255596874482,-176091,-0.44185573839598924,5352.0,142061.0,219
2012-04-24,134994,0.3414207274355129,-167237,-0.42296826669431875,-7011.0,138854.25,218
2012-05-01,140393,0.34078286873865216,-178003,-0.43207548085792236,5399.0,138511.25,215
2012-05-08,123303,0.29512587422630077,-151455,-0.36250771904125917,-17090.0,135173.75,234
2012-05-15,114142,0.2704203595907044,-138917,-0.3291162332293273,-9161.0,128208.0,234
2012-05-22,115151,0.264286009373293,-135598,-0.3112144427664526,1009.0,123247.25,226
2012-05-29,110712,0.263605648692472,-130709,-0.3112185737313419,-4439.0,115827.0,219
2012-06-05,128864,0.3039668255724263,-156122,-0.3682635083655509,18152.0,117217.25,219
2012-06-12,132315,0.320962827839823,-158790,-0.3851845023820844,3451.0,121760.5,223
2012-06-19,136404,0.32594171453695653,-163691,-0.3911448725423664,4089.0,127073.75,232
2012-06-26,122619,0.29645469974710964,-144160,-0.34853415470313187,-13785.0,130050.5,234
2012-07-03,137215,0.32280717438151074,-166637,-0.3920243349299406,14596.0,132138.25,219
2012-07-10,126235,0.29366947847408653,-152766,-0.355390434891847,-10980.0,130618.25,220
2012-07-17,128959,0.2989889107083653,-158819,-0.36821873471252003,2724.0,128757.0,215
2012-07-24,112977,0.2688034147362811,-136245,-0.3241643984239679,-15982.0,126346.5,212
2012-07-31,126064,0.31250139438725044,-156012,-0.38673981105742894,13087.0,123558.75,226
