Feature,Importance
Gold_1,0.039580166
USDINR_MA20,0.025857026
Gold_2,0.024211798
Gold_Silver_Ratio,0.02361235
Gold_vs_MA50,0.022026086
Gold,0.020341028
USDINR,0.019237665
Gold_7,0.01923511
Return_60,0.018325556
Gold_Oil_Ratio,0.01826983
Gold_vs_MA90,0.018234849
Silver,0.017792724
SP500,0.017626297
Trend_50,0.017467266
EMA_50,0.017264215
EMA_20,0.016467981
Gold_14,0.016430704
BB_Low,0.015963273
Volatility_14,0.015762286
BB_High,0.015458118
Gold_MA_200,0.015454566
Gold_DXY_Ratio,0.015098542
Gold_MA_365,0.015015042
Oil,0.014960786
MACD,0.014890043
RSI,0.014889631
Gold_MA_20,0.01470041
Trend_20,0.014552716
Month,0.014313852
USDINR_vs_MA20,0.014210338
EMA_Diff,0.013858118
Gold_VIX_Ratio,0.013853884
Gold_MA_90,0.013756825
Gold_MA_10,0.013683117
Gold_MA_30,0.013571881
Trend_Strength,0.013387468
Gold_vs_MA365,0.013276457
Momentum_30,0.013240832
Trend_200,0.012864567
Return_90,0.012812077
Gold_vs_MA20,0.012714642
TNX,0.012580814
Momentum_14,0.012519504
Gold_3,0.01225264
Momentum_5,0.011882993
BB_Width,0.011699547
Gold_MA_50,0.011688066
Return_30,0.011664059
Return_Acceleration,0.011473572
DXY,0.011436702
RSI_7,0.011389213
Gold_5,0.011279877
Above_MA200,0.011256959
RSI_21,0.011087398
VIX,0.010892919
Quarter,0.010288465
Volatility_Regime,0.009974773
Gold_30,0.0096134795
Volatility_7,0.009586505
Momentum_3,0.009385753
Momentum_7,0.008347812
Return_3,0.00829777
Return_14,0.008012795
Gold_MA_100,0.00795141
Return_7,0.00769393
DXY_Change,0.007301059
Return_1,0.0060063344
SP500_Change,0.0054853284
Oil_Change,0.0054327003
USDINR_Change,0.0053846054
VIX_Change,0.0052586533
is_imputed,0.0052152285
Silver_Change,0.005072479
TNX_Change,0.0048697796
DayOfWeek,0.0034467077
EMA_Trend,0.0
Above_MA50,0.0
